product_code,cost_price,,
MOULD-155,1.81,,
MOULD-155B,2.73,,
MOULD-156,1.81,,
MOULD-156B,2.73,,
MOULD-157,1.81,,
MOULD-157B,2.73,,
MOULD-158,1.81,,
MOULD-158B,2.73,,
MOULD-158BLK,1.58,,
MOULD-159,1.81,,
MOULD-159B,2.73,,
MOULD-16,1.12,,
MOULD-160,1.81,,
MOULD-160B,2.73,,
MOULD-161,1.36,,
MOULD-161B,2.73,,
MOULD-162,1.36,,
MOULD-162B,2.73,,
MOULD-163,1.36,,
MOULD-163B,2.73,,
MOULD-164,1.12,,
MOULD-164-25MM,1.09,,
MOULD-164-DM,1.00,,
MOULD-164B,2.73,,
MOULD-165,1.58,,
MOULD-166,1.58,,
MOULD-167,2.73,,
MOULD-167X,2.65,,
MOULD-169,2.73,,
MOULD-169X,2.65,,
MOULD-16B,2.65,,
MOULD-17,1.12,,
MOULD-170,2.73,,
MOULD-170X,1.89,,
MOULD-171,7.85,,
MOULD-172,7.85,,
MOULD-173,7.85,,
MOULD-174,2.73,,
MOULD-174SX,2.65,,
MOULD-175,1.36,,
MOULD-179,1.58,,
MOULD-17B,2.73,,
MOULD-18,1.15,,
MOULD-180,1.58,,
MOULD-181,1.58,,
MOULD-182,1.58,,
MOULD-22,7.85,,
MOULD-23,7.85,,
MOULD-24,7.85,,
MOULD-25,2.73,,
MOULD-26,4.91,,
MOULD-27,2.73,,
MOULD-28,2.73,,
MOULD-29,1.12,,
MOULD-29B,2.73,,
MOULD-30,1.81,,
MOULD-31,1.81,,
MOULD-32,1.07,,
MOULD-33,2.73,,
MOULD-33A,2.73,,
MOULD-34,2.73,,
MOULD-35,1.07,,
MOULD-36,11.20,,
MOULD-37,1.12,,
MOULD-38,2.73,,
MOULD-39,1.71,,
MOULD-40,1.36,,
MOULD-41,1.36,,
MOULD-43,2.73,,
MOULD-44,1.07,,
MOULD-44B,2.73,,
MOULD-45,1.07,,
MOULD-45B,2.73,,
MOULD-46,1.07,,
MOULD-46B,2.73,,
MOULD-47,1.07,,
MOULD-48,1.08,,
MOULD-48B,2.73,,
MOULD-49,1.08,,
MOULD-49B,2.73,,
MOULD-50,1.08,,
MOULD-50B,2.73,,
MOULD-51,1.07,,
MOULD-52,1.07,,
MOULD-53,1.07,,
MOULD-54,1.07,,
MOULD-55,1.07,,
MOULD-56,1.36,,
MOULD-57,1.36,,
MOULD-57B,2.73,,
MOULD-58,1.36,,
MOULD-58B,2.73,,
MOULD-59,1.25,,
MOULD-60,4.91,,
MOULD-61,1.07,,
MOULD-62,1.08,,
MOULD-63,1.08,,
MOULD-64,1.36,,
MOULD-64B,2.73,,
MOULD-65,1.36,,
MOULD-65B,2.73,,
MOULD-66,1.36,,
MOULD-66B,2.73,,
MOULD-70,2.73,,
MOULD-71,1.12,,
MOULD-72,2.50,,
MOULD-72XH&H,1.20,,
MOULD-73,1.12,,
MOULD-74,1.12,,
MOULD-75,1.12,,
MOULD-76,1.12,,
MOULD-77,1.12,,
MOULD-77B,2.73,,
MOULD-78,1.12,,
MOULD-79,1.12,,
MOULD-79B,2.73,,
MOULD-80,1.12,,
MOULD-82,2.73,,
MOULD-83,1.36,,
MOULD-85,2.73,,
MOULD-86,1.36,,
MOULD-86X,1.36,,
MOULD-86X-Y,1.36,,
MOULD-87,2.73,,
MOULD-88,3.59,,
MOULD-88BL,3.59,,
MOULD-89,1.36,,
MOULD-89B,2.73,,
MOULD-90,1.36,,
MOULD-90B,2.73,,
MOULD-91,1.36,,
MOULD-92,1.36,,
MOULD-93,1.36,,
MOULD-96,1.36,,
MOULD-97,1.81,,
MPB-1.5K,23.85,,
MPB-1.5Z,18.67,,
MPB-10/25MM,6.37,,
MPB-12,28.48,,
MPB-12-GUK,27.98,,
MPB-12-Z,10.08,,
MPB-12/25MM,6.37,,
MPB-12/30MM,6.85,,
MPB-12/BF/22MM,6.45,,
MPB-12/MF-40,10.15,,
MPB-16-HOR,26.98,,
MPB-17,17.98,,
MPB-17-GUK,25.98,,
MPB-17-HH/30MM,6.85,,
MPB-17-Z,7.75,,
MPB-17/25MM,14.95,,
MPB-17/30MM,18.33,,
MPB-17/46MM,10.00,,
MPB-17/4SHEET,28.48,,
MPB-17/50-SMALL,11.50,,
MPB-17/50MM,11.50,,
MPB-17/BF/22MM,25.98,,
MPB-17/BF/28MM,26.98,,
MPB-17/MF-40,10.15,,
MPB-17/RO,26.98,,
MPB-17/SH-55,8.75,,
MPB-17/SH-65,11.83,,
MPB-17/WEB,49.96,,
MPB-25,25.50,,
MPB-25-GUK,26.98,,
MPB-25-HH/30MM,6.85,,
MPB-25-Z,7.75,,
MPB-25/25MM,14.35,,
MPB-25/30MM,17.98,,
MPB-25/46MM,10.00,,
MPB-25/4SHEET,10.00,,
MPB-25/50MM,11.50,,
MPB-25/BF/22MM,26.98,,
MPB-25/BF/28MM,26.98,,
MPB-25/MF-40,10.15,,
MPB-25/MO,45.98,,
MPB-25/RO,19.98,,
MPB-25/SH-55,9.25,,
MPB-25/SH-65,12.32,,
MPB-25/WEB,49.96,,
MPB-26,9.04,,
MPB-2K,18.68,,
MPB-2Z,21.95,,
MPB-30-HOR,26.98,,
MPB-36-HOR,26.98,,
MPB-3K,18.68,,
MPB-3Z,10.98,,
MPB-40,8.50,,
MPB-40/30MM,8.95,,
MPB-40/4SHEET,29.48,,
MPB-40/WEB,49.96,,
MPB-4K,19.25,,
MPB-4Z,10.98,,
MPB-52,18.98,,
MPB-52-GUK,26.98,,
MPB-52-HH/30MM,7.85,,
MPB-52/25MM,16.98,,
MPB-52/30MM,19.39,,
MPB-52/46MM,10.00,,
MPB-52/50MM,11.50,,
MPB-52/BF/22MM,28.48,,
MPB-52/BF/28MM,28.95,,
MPB-52/MF-40,10.15,,
MPB-52/RO,28.98,,
MPB-52/SH-55,9.75,,
MPB-52/SH-65,13.20,,
MPB-52/WEB,49.96,,
MPB-7,26.98,,
MPB-72,19.98,,
MPB-72-GUK,9.45,,
MPB-72/25MM,8.45,,
MPB-72/30MM,8.75,,
MPB-72/BF/22MM,8.35,,
MPB-8,10.00,,
MPB-8-HOR,26.98,,
MPB-8-Z,18.67,,
MPB-MB-17,9.98,,
MPB-MB-25,30.98,,
MPB-MB-52,7.05,,
MPB-MB-72,7.79,,
MPB-ROS-BA-17,7.85,,
MPB-ROS-BA-25,9.86,,
MPB-ROS-BA-52,8.50,,
MPB-ROS-BA-72,10.98,,
MPB-ST/MAILER-17,10.00,,
MPB-ST/MAILER-25,10.00,,
MPB-ST/MAILER-52,10.00,,
MT-01/PERF-OPTION-1,113.73,,
MT-02/COMBO,229.22,,
MT-02/COMBO-01,388.55,,
MT-02/COMBO-FIX,200.04,,
MT-02/CUTTING-OPTION-2,191.16,,
MT-03,219.95,,
MT-03/COMBO,187.11,,
MT-03/COMBO-01,311.20,,
